word,category,subCategory,aliases,similarWords,wrongButCloseWords,forbiddenWords,difficulty,popularity,funScore,hint1,hint2,hint3,source,enabled
柳树,植物花草,树木,垂柳|杨柳,松树:72|榕树:70|柏树:68|杨树:85|梧桐:66,小草,,1,90,88,两个字,一种常见树木,常出现在河边,manual,true
松树,植物花草,树木,青松|松木,柏树:80|柳树:72|榕树:70|杉树:82,松鼠,,1,88,85,两个字,一种树木,四季常青,manual,true
榕树,植物花草,树木,大榕树,柳树:70|松树:70|柏树:68,容器,,2,75,80,两个字,一种树木,南方常见,manual,true
柏树,植物花草,树木,松柏,松树:80|柳树:68|杉树:78,伯父,,2,76,80,两个字,一种常绿树木,常种在陵园,manual,true
梧桐,植物花草,树木,法桐|青桐,柳树:66|杨树:64,蜈蚣,,3,70,82,两个字,一种落叶乔木,凤凰栖息的树,manual,true
玫瑰,植物花草,花卉,玫瑰花,月季:88|蔷薇:85|牡丹:60,玫瑰花茶,,1,92,90,两个字,一种花,常用于表达爱情,manual,true
荷花,植物花草,花卉,莲花,睡莲:86|莲蓬:75|水仙:55,河花,,1,88,88,两个字,一种水生花卉,出淤泥而不染,manual,true
牡丹,植物花草,花卉,富贵花,芍药:85|玫瑰:60|月季:58,丹丹,,2,80,84,两个字,一种花卉,被称为花中之王,manual,true
菊花,植物花草,花卉,黄花,雏菊:82|向日葵:58,橘花,,1,82,82,两个字,一种花卉,秋天盛开,manual,true
兰花,植物花草,花卉,幽兰,君子兰:84|蝴蝶兰:82,篮球,,2,78,82,两个字,一种花卉,四君子之一,manual,true
猫,动物,哺乳动物,猫咪|小猫,老虎:60|狮子:55|猫头鹰:40,帽子,,1,95,92,一个字,一种宠物,喜欢抓老鼠,manual,true
狗,动物,哺乳动物,小狗|犬,狼:75|狐狸:55|猫:45,够,,1,95,92,一个字,一种宠物,人类最忠实的朋友,manual,true
海豚,动物,海洋动物,海豚鱼,鲸鱼:80|海狮:75|海豹:72,海洋,,2,85,88,两个字,一种海洋哺乳动物,非常聪明,manual,true
老虎,动物,哺乳动物,虎|大虫,狮子:82|豹子:78|猫:55,老鼠,,1,90,90,两个字,一种猛兽,森林之王,manual,true
熊猫,动物,哺乳动物,大熊猫,黑熊:65|浣熊:60|竹子:40,猫熊,,1,92,92,两个字,中国国宝,喜欢吃竹子,manual,true
鸵鸟,动物,鸟类,非洲鸵鸟,鸸鹋:80|鹈鹕:55|企鹅:45,陀螺,,3,70,82,两个字,一种大型鸟类,跑得很快但不会飞,manual,true
大象,动物,哺乳动物,象,猛犸:70|河马:55|犀牛:55,大像,,1,90,88,两个字,陆地上最大的动物,有长鼻子,manual,true
企鹅,动物,鸟类,南极企鹅,海鸥:50|鸵鸟:45,企业,,2,85,88,两个字,一种鸟类,生活在南极,manual,true
苹果,食物饮品,水果,红苹果,梨:60|桃子:55|橘子:50,苹果手机,,1,95,90,两个字,一种水果,医生远离我,manual,true
香蕉,食物饮品,水果,芭蕉,芒果:60|菠萝:55,香肠,,1,92,90,两个字,一种水果,黄色弯弯的,manual,true
西瓜,食物饮品,水果,瓜,哈密瓜:78|甜瓜:72|冬瓜:55,西爪,,1,93,90,两个字,一种水果,夏天解暑,manual,true
火锅,食物饮品,菜肴,麻辣火锅,串串:75|麻辣烫:78|烧烤:60,火车,,1,90,92,两个字,一种菜肴,围着锅吃,manual,true
饺子,食物饮品,主食,水饺,馄饨:80|包子:72|汤圆:60,脚趾,,1,90,88,两个字,一种面食,过年常吃,manual,true
咖啡,食物饮品,饮品,咖啡饮,拿铁:80|奶茶:60|可乐:45,卡费,,1,88,86,两个字,一种饮品,提神醒脑,manual,true
北京,地名,城市,首都|京城,天津:60|上海:55,背景,,1,95,90,两个字,中国的城市,中国首都,manual,true
上海,地名,城市,沪|魔都,北京:55|深圳:55|广州:55,商海,,1,93,90,两个字,中国的城市,东方明珠所在地,manual,true
西藏,地名,地区,藏区,新疆:60|青海:58,西装,,2,80,85,两个字,中国的地区,世界屋脊,manual,true
长城,地名,景点,万里长城,故宫:55|城墙:65,长沙,,1,90,88,两个字,中国的景点,世界文化遗产,manual,true
泰山,地名,景点,东岳,黄山:70|华山:72|衡山:70,台山,,2,82,86,两个字,一座山,五岳之首,manual,true
画蛇添足,成语,寓言成语,,多此一举:80|弄巧成拙:70,画蛇,,2,80,90,四个字,一个成语,做了多余的事,manual,true
守株待兔,成语,寓言成语,,刻舟求剑:65|缘木求鱼:60,守护,,2,80,90,四个字,一个成语,不劳而获的幻想,manual,true
亡羊补牢,成语,寓言成语,,未雨绸缪:60|为时已晚:55,亡羊,,2,78,88,四个字,一个成语,出问题后补救,manual,true
画龙点睛,成语,寓言成语,,锦上添花:65|点石成金:55,画龙,,2,80,90,四个字,一个成语,关键一笔,manual,true
李白,历史人物,诗人,诗仙|青莲居士,杜甫:75|白居易:70|苏轼:60,李白桃红,,2,85,88,两个字,唐朝诗人,被称为诗仙,manual,true
杜甫,历史人物,诗人,诗圣,李白:75|白居易:70,杜鹃,,2,82,86,两个字,唐朝诗人,被称为诗圣,manual,true
诸葛亮,历史人物,政治家,孔明|卧龙,司马懿:70|周瑜:65|刘备:60,猪哥,,2,85,90,三个字,三国人物,足智多谋,manual,true
